Gamma_d,Gamma_e,Total_Cost,Num_GPUs,Unmet_Demand,Robust_Delay_Penalty,Sum_tau_0,Sum_tau_1,Sum_tau_2,Status
0,0,421.5072257221286,21,0.010329942646803425,0.0,47.0,6.0,37.0,OPTIMAL
0,10,437.792077571202,25,0.16578389830508478,0.0,65.0,0.0,72.0,OPTIMAL
0,25,437.7920775711989,25,0.1657838983050794,0.0,65.0,0.0,72.0,OPTIMAL
0,50,437.7920775712021,25,0.165783898305085,0.0,65.0,0.0,72.0,OPTIMAL
0,100,437.79207757119855,25,0.16578389830507878,0.0,65.0,0.0,72.0,OPTIMAL
0,200,437.792077571199,25,0.1657838983050796,0.0,65.0,0.0,72.0,OPTIMAL
10,0,454.9069539719405,21,0.010329942646803314,30.48273173220567,6.410683760058282,6.0,0.0,OPTIMAL
10,10,494.9981075756725,23,0.03868034704125156,21.457373675310464,1.373013612075306,0.003058561936594389,0.0,OPTIMAL
10,25,494.99810757567246,23,0.038680347041251485,21.457373675310464,12.297879043658408,0.0,0.0,OPTIMAL
10,50,494.9981075756725,23,0.03868034704125156,21.457373675310457,3.6668056220364416,0.0,0.0,OPTIMAL
10,100,494.9981075756725,23,0.03868034704125156,21.45737367531046,5.290502208863704,0.0,0.0,OPTIMAL
10,200,494.99810757567246,23,0.03868034704125145,21.45737367531046,4.425075694251668,0.0,0.0,OPTIMAL
25,0,454.906953971937,21,0.010329942646803314,30.4827317322022,0.0,6.0,0.0,OPTIMAL
25,10,494.99810757567246,23,0.038680347041251485,21.457373675310457,1.623696586827246,0.0030585619365943893,0.0,OPTIMAL
25,25,494.9981075756725,23,0.03868034704125156,21.457373675310457,1.3730136120752852,0.0,0.0,OPTIMAL
25,50,494.99810757567246,23,0.038680347041251485,21.457373675310457,0.7582700722152235,0.0,0.0,OPTIMAL
25,100,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
25,200,494.99810757567246,23,0.03868034704125148,21.457373675310457,1.3730136120752845,0.0,0.0,OPTIMAL
50,0,454.906953971936,21,0.010329942646803314,30.482731732201167,0.9002484365615842,6.0,0.0,OPTIMAL
50,10,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
50,25,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
50,50,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
50,100,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
50,200,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
100,0,454.9069539719397,21,0.010329942646803314,30.48273173220486,0.0,6.0,0.0,OPTIMAL
100,10,494.99810757567246,23,0.038680347041251485,21.457373675310457,0.0,0.0,0.0,OPTIMAL
100,25,494.99810757567246,23,0.038680347041251485,21.457373675310457,0.0,0.0,0.0,OPTIMAL
100,50,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
100,100,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
100,200,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
200,0,454.90695397194054,21,0.010329942646803368,30.482731732205668,0.0,6.0,0.0,OPTIMAL
200,10,494.99810757567246,23,0.038680347041251485,21.457373675310457,0.0,0.0,0.0,OPTIMAL
200,25,494.99810757567246,23,0.038680347041251485,21.457373675310457,0.0,0.0,0.0,OPTIMAL
200,50,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
200,100,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
200,200,494.9981075756725,23,0.03868034704125156,21.457373675310457,0.0,0.0,0.0,OPTIMAL
