delta_gamma,delta_error,status,total_cost,gpu_rental_cost,total_gpus,delay_penalty,budget_utilization_pct,unmet_demand_pct,gamma_impact_min,gamma_impact_max,error_impact_min,error_impact_max,solve_time
0.1,0.1,OPTIMAL,683.7367873048348,162.30299705931984,23,248.96609415116623,8.115149852965992,0.5992501441750017,0.05230315318409887,0.3965412037495058,0.05158612459080156,0.3854449556386659,0
0.1,0.15,OPTIMAL,676.454203907811,170.75538692256418,26,245.18074784855668,8.537769346128208,0.5620737985998967,0.05695011025995389,0.39754093299582166,0.05361384737865883,0.5438306913507945,0
0.1,0.2,OPTIMAL,666.6407690089593,187.48356124590262,26,246.1798749945063,9.374178062295131,0.5251246338178293,0.05100116148660938,0.3830851922740674,0.054213218307792556,0.6741137000040772,0
0.1,0.25,OPTIMAL,657.1110500227164,187.48356124590262,26,247.4506962166476,9.374178062295131,0.4993937945562293,0.05315531845577731,0.3990590779396922,0.0547820348011858,0.8373089819276136,0
0.1,0.3,OPTIMAL,639.144415708948,187.48356124590262,26,245.40896117456367,9.374178062295131,0.4728690226385393,0.052349625050155876,0.3998759065586338,0.050477167653361334,0.9857690508589326,0
0.15,0.1,OPTIMAL,699.3946844460771,161.27878898087684,27,266.4863918586188,8.063939449043842,0.5979540919197655,0.05286183467584047,0.5465499309856291,0.051202061868321894,0.37250549293425156,0
0.15,0.15,OPTIMAL,692.7402369882892,187.48356124590262,26,261.5845586541151,9.374178062295131,0.549797991197611,0.050339827429305595,0.5493243700785864,0.05062982006358935,0.5227537817760192,0
0.15,0.2,OPTIMAL,679.4377767130572,187.48356124590262,26,260.2122028023721,9.374178062295131,0.5224354456797341,0.0532119287928563,0.5499099953832808,0.050595899148912105,0.6934808228866132,0
0.15,0.25,OPTIMAL,671.8161257933731,189.20742396864455,22,262.25858030803033,9.460371198432227,0.49395099206090765,0.05095839437624889,0.5488043012099785,0.05355187107016707,0.8212391670762093,0
0.15,0.3,OPTIMAL,655.1201524418249,187.48356124590262,26,259.2270646416447,9.374178062295131,0.46947995793468544,0.05018512034162084,0.5494245242243402,0.05172016042267291,0.9875272081876868,0
0.2,0.1,OPTIMAL,717.4184587574399,180.52694381329297,21,247.3575764025463,9.02634719066465,0.5994665666388375,0.05003738541852656,0.6986422079330011,0.051575652154110585,0.3991430058927711,0
0.2,0.15,OPTIMAL,709.6570665031488,189.97394726987764,20,242.51940637266853,9.498697363493882,0.5628205332451554,0.05003137583142281,0.69265879061289,0.051902458915504546,0.5214442194697354,0
0.2,0.2,OPTIMAL,693.8959197925695,182.6927764031239,19,237.8945330391557,9.134638820156194,0.5210956253435719,0.050792592111593815,0.6997809529811354,0.05006340384577451,0.6904684772218473,0
0.2,0.25,OPTIMAL,684.4331953841813,206.70212159321608,20,238.24793209339572,10.335106079660804,0.49855296400401494,0.05108500476377709,0.6980806379216642,0.05067568211530913,0.8336009881090267,0
0.2,0.3,OPTIMAL,670.1042370808237,206.70212159321608,20,239.9359710055727,10.335106079660804,0.4698132118267792,0.055312285423478026,0.6980109036191413,0.05377666345784538,0.9974099253371532,0
0.25,0.1,OPTIMAL,722.8592742237968,182.6927764031239,19,246.48308453551599,9.134638820156194,0.586553236457244,0.05152289040352484,0.8453875400120618,0.05008005937745144,0.3956299672795696,0
0.25,0.15,OPTIMAL,716.402645494884,189.8928089113416,21,250.61956739101925,9.49464044556708,0.5590407446713302,0.0528547380254942,0.8473931720999535,0.05062889062430977,0.5219333886015787,0
0.25,0.2,OPTIMAL,701.5539618597364,206.70212159321608,20,244.75480757143632,10.335106079660804,0.5216639809698583,0.05020531014487242,0.8486261247816831,0.054934261387996036,0.6966064549890327,0
0.25,0.25,OPTIMAL,683.5030633580626,206.70212159321608,20,243.11232870345543,10.335106079660804,0.4904490356536487,0.053756145507725464,0.8468330652292341,0.05348453483650598,0.845418263020654,0
0.25,0.3,OPTIMAL,678.0044841792417,206.70212159321608,20,244.43789795954365,10.335106079660804,0.4723165390264265,0.053781518191727475,0.8448140776081894,0.05014558589168944,0.998648081747602,0
0.3,0.1,OPTIMAL,732.4167867110781,190.3237745920271,20,256.618971133187,9.516188729601355,0.586671804716895,0.05525487751068192,0.9893838420167876,0.05232014430075629,0.3878774196566686,0
0.3,0.15,OPTIMAL,716.3498965402059,206.70212159321608,20,248.45264952793775,10.335106079660804,0.548851706807737,0.051122462421566234,0.9943804164746977,0.05148681306473013,0.5385345985380117,0
0.3,0.2,OPTIMAL,704.2145054848659,206.70212159321608,20,248.01410054746592,10.335106079660804,0.5210814361227228,0.050675863584986006,0.9992457383008451,0.050272185459584534,0.6826568366645929,0
0.3,0.25,OPTIMAL,690.222773761716,206.70212159321608,20,248.2307628841488,10.335106079660804,0.496428976818158,0.05100229997662824,0.9978915108737637,0.05929668204371923,0.8427794447037782,0
0.3,0.3,OPTIMAL,683.7640064194736,206.70212159321608,20,252.47408232936652,10.335106079660804,0.4695710739856574,0.05239194062535194,0.9998791296472985,0.05204757660747399,0.9987152481555237,0
