delta_gamma,delta_error,epsilon_scale,status,total_cost,gap,num_allocations,num_gpus,unmet_demand
0.1,0.1,0.8,OPTIMAL,896.9181639110113,0.008905062899280655,6,4,1
0.1,0.1,1.0,OPTIMAL,870.149900069294,0.003265539672967559,6,6,1
0.1,0.15,0.8,OPTIMAL,896.9181639110113,0.0015635582061552548,6,4,1
0.1,0.15,1.0,OPTIMAL,870.1499000692929,0.008960119025749065,6,6,1
0.1,0.2,0.8,OPTIMAL,896.9181639110113,0.00035255600731506746,6,4,1
0.1,0.2,1.0,OPTIMAL,870.1499000692963,0.007783386068071026,6,6,1
0.1,0.25,0.8,OPTIMAL,896.9181639110113,0.003993682627055854,6,4,1
0.1,0.25,1.0,OPTIMAL,870.1499000692971,6.36023221937757e-05,6,6,1
0.1,0.3,0.8,OPTIMAL,896.9181639110113,0.00667913763137605,6,4,1
0.1,0.3,1.0,OPTIMAL,870.1499000692971,0.009889395994707848,6,6,1
