psi_budget,psi_cost,status,solve_time,total_cost,gpu_rental_cost,storage_cost_model,storage_cost_data,storage_cost_total,delay_penalty,error_penalty,unmet_demand_penalty,total_gpus,avg_gpu_cost,budget_available,budget_used,budget_utilization_pct,budget_slack,precision_FP16,precision_INT8,precision_INT4,total_unmet_demand,unmet_demand_pct,num_active_configs,gpu_tier_allocation,gpu_tier_cost,model_instances
0.01,0.4,OPTIMAL,0.3514251708984375,3601.5925130579976,2.6207686949408684,0.07642615484597845,3.341780173786217,3.4182063286321953,39.229758340685535,0.0510754849941075,3556.2344911313216,1.0,2.6207686949408684,20.0,6.038975023573064,30.194875117865323,13.961024976426936,0.0,1.0,0.0,0.6625413155606228,0.15662915261480445,1.0,{'A6000_INT8': 1},{'A6000_INT8': np.float64(2.6207686949408684)},{'Llama-3.2-1B': 1}
0.01,0.8,OPTIMAL,0.1473841667175293,4644.337126106159,2.8800130032870888,0.05731961613448384,1.9310181661940298,1.9883377823285135,22.260593052579363,0.03153814966202116,4587.881719531223,1.0,2.8800130032870888,20.0,4.868350785615602,24.34175392807801,15.131649214384398,0.0,1.0,0.0,0.801161745061976,0.18939993973096358,1.0,{'RTX_4090_INT8': 1},{'RTX_4090_INT8': np.float64(2.8800130032870888)},{'Llama-3.2-1B': 1}
0.01,1.2,INFEASIBLE,0.16358494758605957,,,,,,,,,,,,,,,,,,,,,,,
0.01,1.6,INFEASIBLE,0.13250088691711426,,,,,,,,,,,,,,,,,,,,,,,
0.01,2.0,INFEASIBLE,0.13122892379760742,,,,,,,,,,,,,,,,,,,,,,,
0.01,2.4,INFEASIBLE,0.20484304428100586,,,,,,,,,,,,,,,,,,,,,,,
0.01,3.0,INFEASIBLE,0.12460017204284668,,,,,,,,,,,,,,,,,,,,,,,
0.05,0.4,OPTIMAL,7.318225145339966,827.3881938318359,14.835549628108518,0.3248111580954084,6.583526524377378,6.908337682472786,83.68853166168563,0.08064764254735929,721.8751272170218,6.0,2.472591604684753,100.0,21.743887310581307,21.743887310581307,78.2561126894187,1.0,5.0,0.0,0.16573468432441155,0.0391807764360311,3.0,"{'RTX_4090_FP16': 1, 'A6000_INT8': 4, 'RTX_4090_INT8': 1}","{'RTX_4090_FP16': np.float64(2.9124683467014996), 'A6000_INT8': np.float64(10.483074779763474), 'RTX_4090_INT8': np.float64(1.4400065016435444)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 4, 'Llama-3.1-8B': 1}"
0.05,0.8,OPTIMAL,5.100269079208374,1678.333699441304,15.72461216964521,0.24838500324942997,5.403941978879287,5.6523269821287165,65.6653528391123,0.08570286263785057,1591.2057045877796,3.0,5.241537389881737,100.0,21.376939151773925,21.376939151773925,78.62306084822607,0.0,3.0,0.0,0.24602481283595218,0.058161894287459145,2.0,{'A6000_INT8': 3},{'A6000_INT8': np.float64(15.72461216964521)},"{'Llama-3.2-1B': 2, 'Llama-3.1-8B': 1}"
0.05,1.2,OPTIMAL,3.7551429271698,2010.005063376887,15.724612169645209,0.11463923226896769,5.5376877498597485,5.6523269821287165,60.857619683399015,0.09014069121354329,1927.6803638505005,2.0,7.862306084822604,100.0,21.376939151773925,21.376939151773925,78.62306084822607,0.0,2.0,0.0,0.33645465325309787,0.0795401071520326,1.0,{'A6000_INT8': 2},{'A6000_INT8': np.float64(15.724612169645209)},{'Llama-3.2-1B': 2}
0.05,1.6,OPTIMAL,0.8373990058898926,3014.7176630817617,16.24310078633765,0.09553269355747307,2.4267560497051033,2.5222887432625765,25.12966879647328,0.04765549142491262,2941.5182377546075,2.0,8.121550393168825,100.0,18.765389529600228,18.765389529600228,81.23461047039977,0.0,2.0,0.0,0.5274685596351325,0.12469705901539775,2.0,"{'A6000_INT8': 1, 'RTX_4090_INT8': 1}","{'A6000_INT8': np.float64(10.483074779763474), 'RTX_4090_INT8': np.float64(5.7600260065741775)}",{'Llama-3.2-1B': 2}
0.05,2.0,OPTIMAL,0.4923131465911865,3604.237494751916,14.562341733507498,0.07642615484597845,3.2381770178049467,3.314603172650925,36.5060864078056,0.04113716516515477,3549.7751131953637,1.0,14.562341733507498,100.0,17.876944906158425,17.876944906158425,82.12305509384157,1.0,0.0,0.0,0.6650679443118903,0.15722646437633342,1.0,{'RTX_4090_FP16': 1},{'RTX_4090_FP16': np.float64(14.562341733507498)},{'Llama-3.2-1B': 1}
0.05,2.4,OPTIMAL,0.17548203468322754,3614.6963565327023,15.724612169645209,0.07642615484597845,3.3417801737862174,3.4182063286321958,39.22975834068587,0.05107548499410751,3556.234491131322,1.0,15.724612169645209,100.0,19.142818498277407,19.142818498277407,80.8571815017226,0.0,1.0,0.0,0.6625413155606228,0.15662915261480445,1.0,{'A6000_INT8': 1},{'A6000_INT8': np.float64(15.724612169645209)},{'Llama-3.2-1B': 1}
0.05,3.0,OPTIMAL,0.22829079627990723,4652.257161865198,10.800048762326583,0.05731961613448384,1.9310181661940298,1.9883377823285135,22.260593052579594,0.03153814966202116,4587.881719531223,1.0,10.800048762326583,100.0,12.788386544655095,12.788386544655095,87.2116134553449,0.0,1.0,0.0,0.801161745061976,0.18939993973096358,1.0,{'RTX_4090_INT8': 1},{'RTX_4090_INT8': np.float64(10.800048762326583)},{'Llama-3.2-1B': 1}
0.1,0.4,OPTIMAL,4.659515857696533,161.7730046852637,31.938529583316694,0.4585569290758707,7.008896024394619,7.46745295347049,115.83902554449747,0.08091979265855258,0.0,16.0,1.9961580989572933,200.0,39.40598253678718,19.70299126839359,160.59401746321282,1.0,14.0,1.0,0.0,0.0,5.0,"{'RTX_4090_INT4': 1, 'A6000_INT8': 6, 'RTX_4090_FP16': 1, 'RTX_4090_INT8': 8}","{'RTX_4090_INT4': np.float64(1.781397053821629), 'A6000_INT8': np.float64(15.72461216964521), 'RTX_4090_FP16': np.float64(2.9124683467014996), 'RTX_4090_INT8': np.float64(11.520052013148355)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 11, 'Llama-3.2-11B-Vision': 4}"
0.1,0.8,OPTIMAL,6.90155291557312,581.2274913716273,32.032623642811686,0.3248111580954084,6.634655167925421,6.959466326020829,88.00893148815538,0.08242617898567488,454.1440437356538,6.0,5.338770607135281,200.0,38.992089968832516,19.496044984416258,161.00791003116748,1.0,5.0,0.0,0.09481269850880199,0.02241434952926761,3.0,"{'RTX_4090_FP16': 1, 'A6000_INT8': 5}","{'RTX_4090_FP16': np.float64(5.824936693402999), 'A6000_INT8': np.float64(26.207686949408682)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 4, 'Llama-3.1-8B': 1}"
0.1,1.2,OPTIMAL,5.407526969909668,1341.7708449436752,32.22695726432907,0.19106538711494614,6.313804890671122,6.504870277786068,78.12623586215993,0.0933976017594261,1224.8193839376404,5.0,6.445391452865815,200.0,38.73182754211514,19.36591377105757,161.26817245788487,0.0,5.0,0.0,0.23315378311146606,0.05511909766228512,3.0,"{'A6000_INT8': 3, 'RTX_4090_INT8': 2}","{'A6000_INT8': np.float64(23.58691825446781), 'RTX_4090_INT8': np.float64(8.640039009861265)}","{'Llama-3.2-1B': 3, 'Llama-3.2-3B': 2}"
0.1,1.6,OPTIMAL,4.537926197052002,1580.9802989137072,31.44922433929042,0.24838500324942997,6.0769559735404695,6.325340976789899,73.43712569599371,0.09406974451811903,1469.674538157115,3.0,10.483074779763474,200.0,37.77456531608032,18.88728265804016,162.22543468391967,0.0,3.0,0.0,0.21356459531851368,0.05048808399964863,2.0,{'A6000_INT8': 3},{'A6000_INT8': np.float64(31.44922433929042)},"{'Llama-3.2-1B': 2, 'Llama-3.1-8B': 1}"
0.1,2.0,OPTIMAL,4.246224880218506,1970.550083987027,29.124683467014997,0.11463923226896769,6.024765617253481,6.139404849522449,63.90226237620393,0.07912677710690384,1871.3046065171786,2.0,14.562341733507498,200.0,35.264088316537446,17.632044158268723,164.73591168346255,2.0,0.0,0.0,0.3151709120017654,0.07450848983493272,1.0,{'RTX_4090_FP16': 2},{'RTX_4090_FP16': np.float64(29.124683467014997)},{'Llama-3.2-1B': 2}
0.1,2.4,OPTIMAL,2.626854181289673,1994.6999760397684,31.449224339290417,0.11463923226896769,5.983654518238797,6.098293750507765,66.11482537990544,0.09541478920354883,1890.9422177808615,2.0,15.724612169645209,200.0,37.54751808979818,18.77375904489909,162.4524819102018,0.0,2.0,0.0,0.31967772325708677,0.07557392984801106,1.0,{'A6000_INT8': 2},{'A6000_INT8': np.float64(31.449224339290417)},{'Llama-3.2-1B': 2}
0.1,3.0,OPTIMAL,1.751729965209961,2743.979212388543,30.455813974383094,0.11463923226896769,5.6085991985933425,5.7232384308623105,62.64614869376383,0.08279385597410378,2645.0712174335604,2.0,15.227906987191547,200.0,36.1790524052454,18.0895262026227,163.8209475947546,0.0,2.0,0.0,0.4424075830441281,0.10458808109790263,2.0,"{'A6000_INT8': 1, 'RTX_4090_INT8': 1}","{'A6000_INT8': np.float64(19.65576521205651), 'RTX_4090_INT8': np.float64(10.800048762326583)}",{'Llama-3.2-1B': 2}
0.5,0.4,OPTIMAL,11.737031936645508,162.8145724900752,34.267598626496934,0.4585569290758707,7.008896024394619,7.46745295347049,114.54786843246728,0.08457566632004149,0.0,17.0,2.0157410956762902,1000.0,41.73505157996742,4.1735051579967415,958.2649484200326,0.0,16.0,1.0,0.0,0.0,4.0,"{'RTX_4090_INT4': 1, 'A6000_INT8': 8, 'RTX_4090_INT8': 8}","{'RTX_4090_INT4': np.float64(1.781397053821629), 'A6000_INT8': np.float64(20.966149559526947), 'RTX_4090_INT8': np.float64(11.520052013148355)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 12, 'Llama-3.2-11B-Vision': 4}"
0.5,0.8,OPTIMAL,8.751401901245117,193.7089741253256,63.19427806227722,0.4585569290758707,7.008896024394619,7.46745295347049,116.52158599259339,0.07858030566407675,0.0,16.0,3.9496423788923263,1000.0,70.6617310157477,7.06617310157477,929.3382689842523,1.0,15.0,0.0,0.0,0.0,5.0,"{'RTX_4090_INT8': 9, 'A6000_INT8': 6, 'RTX_4090_FP16': 1}","{'RTX_4090_INT8': np.float64(25.9201170295838), 'A6000_INT8': np.float64(31.44922433929042), 'RTX_4090_FP16': np.float64(5.824936693402999)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 11, 'Llama-3.2-11B-Vision': 4}"
0.5,1.2,OPTIMAL,6.6110310554504395,225.30611315646465,94.79141709341582,0.4585569290758707,7.008896024394619,7.46745295347049,116.52158599259383,0.07858030566407678,0.0,16.0,5.9244635683384885,1000.0,102.2588700468863,10.22588700468863,897.7411299531137,1.0,15.0,0.0,0.0,0.0,5.0,"{'RTX_4090_INT8': 9, 'A6000_INT8': 6, 'RTX_4090_FP16': 1}","{'RTX_4090_INT8': np.float64(38.880175544375696), 'A6000_INT8': np.float64(47.17383650893562), 'RTX_4090_FP16': np.float64(8.737405040104498)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 11, 'Llama-3.2-11B-Vision': 4}"
0.5,1.6,OPTIMAL,4.933751106262207,256.90325218755254,126.38855612455444,0.4585569290758707,7.008896024394607,7.467452953470478,116.52158599259282,0.07858030566345188,0.0,16.0,7.8992847577846526,1000.0,133.85600907802493,13.385600907802491,866.143990921975,1.0,15.0,0.0,0.0,0.0,5.0,"{'RTX_4090_INT8': 9, 'A6000_INT8': 6, 'RTX_4090_FP16': 1}","{'RTX_4090_INT8': np.float64(51.8402340591676), 'A6000_INT8': np.float64(62.89844867858084), 'RTX_4090_FP16': np.float64(11.649873386805998)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 11, 'Llama-3.2-11B-Vision': 4}"
0.5,2.0,OPTIMAL,5.471636056900024,284.95022020814724,131.77800820628437,0.4585569290758707,7.004422268084166,7.462979197160037,115.75723813342316,0.07844805534177222,0.0,14.0,9.412714871877455,1000.0,139.24098740344442,13.924098740344443,860.7590125965555,1.0,13.0,0.0,0.0,0.0,5.0,"{'RTX_4090_INT8': 9, 'A6000_INT8': 4, 'RTX_4090_FP16': 1}","{'RTX_4090_INT8': np.float64(64.8002925739595), 'A6000_INT8': np.float64(52.415373898817364), 'RTX_4090_FP16': np.float64(14.562341733507498)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 11, 'Llama-3.2-11B-Vision': 2}"
0.5,2.4,OPTIMAL,3.8318989276885986,311.30582698142314,158.1336098475412,0.4585569290758707,7.004422268084166,7.462979197160037,115.75724326543855,0.07844805534399091,0.0,14.0,11.295257846252943,1000.0,165.59658904470126,16.559658904470126,834.4034109552988,1.0,13.0,0.0,0.0,0.0,5.0,"{'RTX_4090_INT8': 9, 'A6000_INT8': 4, 'RTX_4090_FP16': 1}","{'RTX_4090_INT8': np.float64(77.76035108875139), 'A6000_INT8': np.float64(62.898448678580834), 'RTX_4090_FP16': np.float64(17.474810080208997)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 11, 'Llama-3.2-11B-Vision': 2}"
0.5,3.0,OPTIMAL,4.96649694442749,487.53496328903327,152.27906987191545,0.4012373129413868,6.940430497292808,7.341667810234195,102.73540227469003,0.07892760893934064,225.0998957232542,10.0,15.227906987191545,1000.0,159.62073768214964,15.962073768214962,840.3792623178504,0.0,10.0,0.0,0.04732452317986967,0.011187830538976281,4.0,"{'RTX_4090_INT8': 5, 'A6000_INT8': 5}","{'RTX_4090_INT8': np.float64(54.00024381163291), 'A6000_INT8': np.float64(98.27882606028255)}","{'Llama-3.2-1B': 1, 'Llama-3.2-3B': 8, 'Llama-3.1-8B': 1}"
